rank,batch_size,learning_rate,consistency_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
96,64,0.001,1.0,7.0,3,2,1e-07,0.9306688570874614,0.18539755084413162,0.8130471114252227,0.9872041688611999,0.9917552909759617,50,114.55433130264282
97,128,0.001,1.0,7.0,5,2,1e-08,0.9304284208741866,0.1761571871473434,0.8128401799026771,0.9857717847328651,0.9926732979870178,50,75.23107719421387
98,128,0.0005,0.5,7.0,5,2,1e-08,0.930393669230722,0.1680587796454734,0.815474080943414,0.9828735087055113,0.9928334180432404,41,61.63340497016907
99,128,0.0005,1.0,5.0,2,3,1e-08,0.9303509237487352,0.20184119838349363,0.8158237819111227,0.9817565917850409,0.9934723975500418,50,75.22807455062866
100,128,0.001,1.0,5.0,2,2,1e-08,0.9302028536358505,0.18706066944497696,0.812278462094854,0.9843063510772943,0.9940237477354036,50,95.10363483428955
101,128,0.001,0.5,5.0,5,3,1e-08,0.9301546192612018,0.17007007453035802,0.8177109226282722,0.9828921386889291,0.9898607964664041,50,75.15100836753845
102,64,0.001,0.5,7.0,2,2,1e-08,0.9300375763023337,0.1548580013374065,0.8099309548037618,0.9867605952471645,0.993421178856075,50,117.50186157226562
103,128,0.0005,1.0,5.0,2,3,1e-07,0.9300191771444712,0.1949173761175034,0.8122968009591259,0.9854648046825377,0.9922959257917503,50,75.27161169052124
104,64,0.001,0.5,5.0,3,3,1e-07,0.9300029964907429,0.1584336331550111,0.8152214416694429,0.9858301068176935,0.9889574409850924,47,107.50478029251099
105,128,0.001,1.0,5.0,5,2,1e-08,0.9299035646148278,0.17743929028511046,0.8120060848964141,0.9873346020881568,0.9903700068599124,50,75.2440881729126
106,64,0.001,1.0,7.0,2,2,1e-07,0.9298374279935352,0.2079419106245041,0.8154303049804434,0.9830778062698073,0.9910041727303548,50,114.51329612731934
107,128,0.001,0.5,5.0,2,3,1e-08,0.9297828184961355,0.15490302998334804,0.8086363579379638,0.9887841139108592,0.9919279836395837,50,75.17602944374084
108,128,0.0005,1.0,7.0,3,3,1e-07,0.9297813772749852,0.18257422764250572,0.8122248288805726,0.9856741367588329,0.9914451661855503,50,76.49165940284729
109,64,0.001,0.5,7.0,5,2,1e-08,0.9297344336251988,0.15866400028796906,0.8092639630029068,0.9865326509257328,0.9934066869469569,41,93.65889549255371
110,128,0.001,1.0,5.0,5,3,1e-07,0.929668443238273,0.1885323388779417,0.811074434423445,0.985739336748254,0.99219155854312,49,73.7162766456604
111,128,0.0005,0.5,7.0,2,3,1e-08,0.9293549014404855,0.17071763568736137,0.8207821095928082,0.9756951922118613,0.9915874025167868,50,75.2355809211731
112,64,0.001,0.5,7.0,5,2,1e-07,0.9292703836774804,0.1635807176853748,0.8114459940754225,0.9862115439689162,0.9901536129881024,50,114.47426199913025
113,64,0.0005,0.5,5.0,2,2,1e-08,0.9292378043886584,0.1679558885858414,0.8101074628343939,0.988397786018016,0.9892081643135653,50,117.56191277503967
114,64,0.001,1.0,5.0,3,2,1e-07,0.9291743794142259,0.18361005060216215,0.8094305723831843,0.9862110059649196,0.9918815598945735,50,114.53531527519226
115,64,0.0005,1.0,7.0,3,2,1e-07,0.9290287429974463,0.18831112517955456,0.8095032219095228,0.9864580800511038,0.9911249270317123,50,114.47826600074768
116,128,0.001,1.0,7.0,3,2,1e-07,0.9289671987368231,0.20174816047891658,0.810970565078453,0.9863592775062281,0.9895717536257883,50,75.14750552177429
117,64,0.001,0.5,7.0,3,3,1e-07,0.9287572120104416,0.16346697217606485,0.8056965969983688,0.9869673661851536,0.9936076728478025,47,107.48926663398743
118,128,0.0005,1.0,5.0,3,2,1e-08,0.9287117262768249,0.1969294588616554,0.8129636195687707,0.9815272467801622,0.9916443124815417,50,75.17152523994446
119,64,0.001,0.5,5.0,2,2,1e-08,0.9285622571409959,0.16002437434297928,0.8074104595746412,0.9871378384915461,0.9911384733568003,50,117.60745167732239
120,64,0.001,0.5,7.0,2,3,1e-07,0.9284608616270607,0.16282289884191878,0.8091619279562311,0.9860070676189712,0.9902135893059799,38,113.5844988822937
121,128,0.0005,1.0,7.0,2,3,1e-07,0.9283989304668009,0.2179620623588562,0.8131996028013672,0.9804968070805742,0.9915003815184612,50,75.21356177330017
122,128,0.0005,1.0,5.0,5,2,1e-08,0.9283324429291673,0.20674758864210008,0.8125368381931027,0.9830694775312997,0.9893910130630993,50,75.16852307319641
123,128,0.0005,0.5,7.0,3,2,1e-08,0.9282848555326608,0.1703701782099744,0.8138182200540901,0.98660719393259,0.9844291526113023,45,67.61604046821594
124,128,0.001,0.5,5.0,2,2,1e-07,0.9281972047954014,0.17800292448794588,0.8116856760729568,0.9833906175908246,0.9895153207224225,50,75.2721118927002
125,64,0.0005,0.5,5.0,3,3,1e-08,0.928123364138174,0.18266899211609616,0.8159173825303072,0.9790243311087361,0.9894283787754784,47,107.39218378067017
126,64,0.001,1.0,7.0,3,2,1e-08,0.9280764846572412,0.21049024361245175,0.8108406861872495,0.9849519168602623,0.9884368509242119,45,102.84878349304199
127,64,0.001,1.0,7.0,5,2,1e-08,0.9279578576139255,0.1967633197282223,0.8098255997373887,0.9859493700988313,0.9880986030055566,50,114.40370202064514
128,64,0.0005,1.0,7.0,3,3,1e-07,0.9277409638576634,0.19781579597199217,0.8072023537542604,0.9858661684792892,0.9901543693394402,46,105.27236366271973
129,64,0.0005,1.0,5.0,2,2,1e-07,0.9276142134930055,0.1926823396632012,0.8103198696603415,0.9856021658931663,0.9869206049255088,50,114.498783826828
130,64,0.001,1.0,5.0,3,3,1e-08,0.9275381400894247,0.19910400351311297,0.8066436961848327,0.9851253015337876,0.9908454225496536,46,105.16176891326904
131,64,0.0005,1.0,5.0,3,2,1e-08,0.9275263489318046,0.19998161399618108,0.8100349469859494,0.9836726703421694,0.9888714294672952,45,102.97389125823975
132,128,0.001,0.5,7.0,3,2,1e-08,0.9275236219570328,0.16530071281372233,0.811476212461542,0.9884030906112896,0.9826915627982664,45,67.64006090164185
133,64,0.001,0.5,5.0,2,3,1e-08,0.9274635306342495,0.17406440732326914,0.8127721139079955,0.9786223755504733,0.9909961024442797,37,106.69658613204956
134,128,0.0005,0.5,7.0,5,2,1e-07,0.9274023354183919,0.17987577090872095,0.8180343855893792,0.9763954392669693,0.9877771813988269,50,75.18904066085815
135,128,0.001,1.0,7.0,5,3,1e-08,0.9273124405532972,0.2233579214583052,0.8092081418653025,0.9832084611117988,0.9895207186827902,50,75.15250968933105
136,128,0.001,1.0,5.0,5,2,1e-07,0.9272843351136818,0.1972548631911582,0.8073158775777484,0.9823670866678862,0.9921700410954108,50,75.17653012275696
137,128,0.0005,1.0,5.0,5,3,1e-07,0.9271442544365697,0.19905202984809875,0.8090938841710038,0.9824548079151275,0.9898840712235776,50,75.22957587242126
138,64,0.001,1.0,5.0,5,2,1e-08,0.9269740618495588,0.22054379512654973,0.8120672452127131,0.9763565264359906,0.9924984138999725,41,93.80401921272278
139,128,0.0005,0.5,7.0,2,2,1e-08,0.9269454972114896,0.1776147615402303,0.8030020898672029,0.9878935208755634,0.9899408808917024,50,108.12331080436707
140,128,0.0005,0.5,5.0,2,2,1e-08,0.9269291621532143,0.17203502845256888,0.8156757535524419,0.9781149262420319,0.986996806665169,50,76.23944234848022
141,64,0.001,1.0,7.0,5,2,1e-07,0.9268429379588264,0.2033765081395494,0.803657230269088,0.9856682178518229,0.9912033657555686,50,114.40220046043396
142,128,0.001,1.0,7.0,2,3,1e-08,0.9268304510020466,0.20240104648661106,0.8068654518372675,0.9808739105115627,0.9927519906573097,50,75.2285749912262
143,64,0.0005,1.0,5.0,3,2,1e-07,0.9268235801022001,0.20825540283893018,0.8093705196922899,0.9811533032058879,0.9899469174084221,46,105.49205255508423
144,128,0.0005,1.0,5.0,2,2,1e-07,0.9267674011391804,0.19655668215548738,0.8061535806566869,0.9844139722273532,0.9897346505335014,50,96.02242398262024
145,128,0.001,1.0,5.0,3,3,1e-07,0.9265648871711555,0.23380563823466605,0.8049704963795139,0.9856206274179721,0.9891035377159805,50,75.28212118148804
146,128,0.0005,0.5,7.0,3,3,1e-07,0.9264848215191527,0.17525147237676256,0.8091698270383227,0.9821073824923618,0.9881772550267737,50,75.23558068275452
147,64,0.0005,1.0,5.0,3,3,1e-08,0.9262702836487398,0.20764602625623663,0.80703230346482,0.9812381146168796,0.9905404328645196,46,105.18729090690613
148,64,0.001,1.0,7.0,2,2,1e-08,0.9259320993223076,0.21259219113816608,0.8016877244216881,0.98412750876495,0.9919810647802846,50,114.58285617828369
149,64,0.0005,0.5,7.0,3,2,1e-07,0.9259079386801908,0.18087638958971552,0.8071295448773556,0.9831183604139083,0.9874759107493084,42,96.11450433731079
150,128,0.001,1.0,7.0,5,3,1e-07,0.9259024389967078,0.20242824858807504,0.8083313362993684,0.9819761664845772,0.987399814206178,50,75.2165641784668
151,128,0.001,1.0,7.0,3,2,1e-08,0.9258887297064655,0.2100728583462695,0.8042582194850474,0.9839567709403079,0.9894511986940412,44,66.09623575210571
152,128,0.0005,1.0,7.0,5,2,1e-07,0.9257805522394675,0.2209833917465616,0.8094979088492054,0.9805390418252062,0.9873047060439911,50,75.25559830665588
153,128,0.0005,1.0,7.0,5,3,1e-08,0.9257237170049074,0.21200207541597652,0.8077244824204151,0.9812474205923974,0.9881992480019096,46,69.15636253356934
154,64,0.0005,0.5,5.0,2,3,1e-08,0.9257095528832423,0.18991753896500202,0.8101137607300424,0.9770787469196761,0.9899361510000085,38,112.41099166870117
155,128,0.0005,1.0,5.0,2,2,1e-08,0.925610176568583,0.1961063264532292,0.8022403548831729,0.9826149422950643,0.991975232527512,50,96.29565834999084
156,128,0.0005,1.0,7.0,2,3,1e-08,0.9255167426558936,0.21169435927208433,0.8094855386117165,0.9823290379922448,0.9847356513637193,50,75.185537815094
157,128,0.001,0.5,5.0,3,3,1e-07,0.9254723205836548,0.1780017412723379,0.8024190134414922,0.9877841938851788,0.9862137544242935,38,57.080496311187744
158,128,0.0005,1.0,7.0,2,2,1e-07,0.9249806990380498,0.21218565157119265,0.8079650793339401,0.982035618700032,0.9849413990801775,49,91.434485912323
159,64,0.001,1.0,7.0,2,3,1e-08,0.9248253243243765,0.2192434553136217,0.8007857303968537,0.9845853044379789,0.9891049381382967,36,82.10047364234924
160,128,0.0005,1.0,7.0,2,2,1e-08,0.9243363660820677,0.2063227136084374,0.8100390499143043,0.9738211235476689,0.9891489247842299,50,103.19508075714111
161,128,0.0005,1.0,7.0,5,3,1e-07,0.9243261377910144,0.22549383354947922,0.80128391797226,0.9826796424856516,0.9890148529151316,50,75.18303632736206
162,128,0.001,1.0,7.0,2,2,1e-07,0.9241949725634142,0.2174301360515838,0.8045996515226823,0.9825266672153301,0.9854585989522301,50,94.57818412780762
163,64,0.0005,1.0,7.0,2,3,1e-07,0.9241610735658147,0.23396077707726903,0.8086886659888757,0.9753052542973566,0.9884893004112117,37,84.20678162574768
164,64,0.001,1.0,5.0,2,2,1e-07,0.9240905056061401,0.22683856981865902,0.7993580761471495,0.9847104726865544,0.9882029679847167,37,87.2098593711853
165,64,0.001,0.5,5.0,5,3,1e-08,0.9239687405075877,0.17970746793645492,0.8008317525075347,0.9795830868833958,0.9914913821318326,34,77.85582995414734
166,128,0.0005,0.5,5.0,2,3,1e-07,0.9236893060851313,0.1866810545008233,0.8064065272815047,0.9814788871145226,0.9831825038593667,50,75.11848068237305
167,128,0.001,0.5,7.0,5,3,1e-08,0.9236837565279821,0.1828835627500047,0.8005896931367769,0.9814857835360092,0.98897579291116,45,67.6025288105011
168,64,0.001,0.5,5.0,3,3,1e-08,0.9234944973613263,0.17778997129582344,0.7985247505708813,0.9850792906747069,0.9868794508383907,43,98.1957893371582
169,128,0.001,0.5,7.0,3,3,1e-07,0.9234727441811955,0.1860861043346689,0.8032681763584777,0.9792854459680689,0.9878646102170399,38,57.09951305389404
170,64,0.0005,0.5,7.0,5,3,1e-07,0.923311495075565,0.1798150176697589,0.8041270419978427,0.980019298604272,0.9857881446245803,50,114.34565234184265
171,128,0.001,0.5,5.0,5,3,1e-07,0.9232962446265702,0.18298527763244954,0.7998224183342779,0.9816524955403768,0.9884138200050557,43,64.54440450668335
172,64,0.001,1.0,5.0,2,2,1e-08,0.922887717733942,0.2176424040439281,0.8032382743446949,0.9785106041211962,0.986914274735935,50,114.55733466148376
173,64,0.001,1.0,7.0,2,3,1e-07,0.9228493386150607,0.2342113972344297,0.8021645636957538,0.9781036070714173,0.9882798450780111,37,84.25232076644897
174,128,0.001,1.0,5.0,5,3,1e-08,0.9226488922348839,0.2262100432781463,0.8090360081237069,0.9803985763067454,0.9785120922741994,46,69.16436886787415
175,64,0.001,0.5,7.0,5,3,1e-08,0.9225351731916236,0.17232780209247103,0.7877221388298686,0.9867766198493908,0.9931067608956117,50,114.42271780967712
176,128,0.0005,1.0,5.0,3,3,1e-08,0.9215378304139762,0.25924940781390415,0.8002923696636464,0.9792409519126489,0.9850801696656333,50,75.19754815101624
177,64,0.0005,1.0,7.0,2,3,1e-08,0.9214488259031907,0.23315533944900999,0.7976443311494851,0.9783387275726326,0.9883634189874545,38,86.42418479919434
178,64,0.0005,1.0,7.0,2,2,1e-08,0.9213162233544883,0.21758887869246463,0.7949001108351578,0.9796566583983023,0.9893919008300048,50,114.61588430404663
179,128,0.001,0.5,7.0,2,2,1e-07,0.9211190687694203,0.20268214509842244,0.803168003517997,0.9774560400646318,0.982733162725632,35,52.729761600494385
180,64,0.0005,1.0,7.0,2,2,1e-07,0.9210055610800388,0.22365674699874635,0.790841280329539,0.9820894576671572,0.9900859452434203,50,114.551828622818
181,64,0.001,1.0,7.0,3,3,1e-07,0.9208224722868845,0.26436728860469577,0.7975968398138731,0.9804876775856161,0.9843828994611644,44,100.62187242507935
182,64,0.001,1.0,7.0,3,3,1e-08,0.9204793042132494,0.23246883902143925,0.7995973207376796,0.9801124382279786,0.9817281536740899,46,105.1242368221283
183,128,0.001,1.0,5.0,2,3,1e-07,0.9200992810353542,0.22501598977028056,0.7938300832766805,0.9837563363952968,0.9827114234340857,50,75.2606554031372
184,128,0.0005,0.5,5.0,5,3,1e-07,0.9192537256531047,0.20610754204557297,0.7998822335549954,0.9747462116217432,0.9831327317825758,50,75.14500284194946
185,128,0.001,0.5,5.0,5,2,1e-07,0.9166858134734466,0.21648021911052948,0.7865730810921042,0.9794332090292369,0.9840511502989986,50,75.11948108673096
186,64,0.001,1.0,7.0,5,3,1e-08,0.916642506129576,0.2726913665203338,0.7880968142437548,0.9758981300490626,0.9859325740959108,35,80.00467467308044
187,128,0.001,0.5,7.0,3,3,1e-08,0.9163405924451177,0.20615744229326857,0.7891721044764561,0.9735274262283916,0.9863222466305054,36,54.09593486785889
188,64,0.001,1.0,5.0,2,3,1e-08,0.9157211811537941,0.24079352820173222,0.7868702128730732,0.9787313388485998,0.9815619917397093,38,86.54028487205505
189,64,0.0005,1.0,5.0,5,3,1e-08,0.9148530076101006,0.24633119600884457,0.7805177995501926,0.9750277430842285,0.9890134801958808,35,80.03369951248169
190,64,0.001,1.0,5.0,3,3,1e-07,0.9123409787791968,0.27320165944860336,0.7826897344327726,0.9752239975789652,0.979109204325853,46,105.22832608222961
191,64,0.001,1.0,5.0,2,3,1e-07,0.9119665683908371,0.2873118097477771,0.7888077800707254,0.9795837546953152,0.9675081704064706,34,77.38142251968384
192,128,0.001,1.0,7.0,3,3,1e-07,0.9099173082428758,0.2732159331757972,0.7839428656113862,0.9735235296481922,0.9722855294690487,38,57.287174463272095
